model	nDCG	Recall	APLT
EASER_neighborhood=25475_l2_norm=120$0	0.1268489832603721	0.0827779050122846	0.0088212506917542
EASER_neighborhood=25475_l2_norm=3000$0	0.1027838700891156	0.0694967091217381	0.003071389042612
EASER_neighborhood=25475_l2_norm=1700$0	0.1102026022573203	0.0739921388703726	0.0036413945766463
EASER_neighborhood=25475_l2_norm=350$0	0.1239489171775922	0.0810924334524318	0.0061427780852241
EASER_neighborhood=25475_l2_norm=0$2	0.0494078327814897	0.0354150390925687	0.0505534034311012
EASER_neighborhood=25475_l2_norm=30$0	0.1211299803223969	0.0793886149560052	0.0129053680132816
EASER_neighborhood=25475_l2_norm=200$0	0.1258553438170523	0.0820629840248451	0.0075152185943552
EASER_neighborhood=25475_l2_norm=0$9	0.0707063671986614	0.0492706546498769	0.0376701715550636
EASER_neighborhood=25475_l2_norm=100$0	0.1268059119874862	0.0828034431822394	0.0093027116768123
EASER_neighborhood=25475_l2_norm=1$0	0.0724982921056574	0.0502927571337477	0.0362977310459324
EASER_neighborhood=25475_l2_norm=600$0	0.120261374462894	0.0794170357266874	0.0051245157719977
EASER_neighborhood=25475_l2_norm=1800$0	0.1095000577831266	0.0735808783485436	0.0035528500276701
EASER_neighborhood=25475_l2_norm=900$0	0.1169805394026221	0.0776778399416759	0.0044548976203652
EASER_neighborhood=25475_l2_norm=90$0	0.1266366659720037	0.082684729502778	0.0095628112894299
EASER_neighborhood=25475_l2_norm=2500$0	0.1054779265432825	0.070977234240707	0.0032595462091864
EASER_neighborhood=25475_l2_norm=300$0	0.1246340117166384	0.0814686926107679	0.0065799667957941
EASER_neighborhood=25475_l2_norm=500$0	0.1216482904489501	0.0800224843425665	0.0054344216934144
EASER_neighborhood=25475_l2_norm=0$1	0.0426521466820068	0.0306708631457931	0.0513558384061981
EASER_neighborhood=25475_l2_norm=10$0	0.1095864254560445	0.0723573694655662	0.0170669618151632
EASER_neighborhood=25475_l2_norm=80$0	0.1264022187504071	0.0824903836089279	0.0099225235196458
EASER_neighborhood=25475_l2_norm=450$0	0.1222764780104213	0.0803145683953267	0.0055838406198118
EASER_neighborhood=25475_l2_norm=1300$0	0.1136357694446629	0.0758651530529975	0.003940232429441
EASER_neighborhood=25475_l2_norm=70$0	0.126020155396249	0.0823678250956241	0.0103652462645268
EASER_neighborhood=25475_l2_norm=180$0	0.1258663680057639	0.0821674912576462	0.0077199778638627
EASER_neighborhood=25475_l2_norm=0$6	0.0640981688149551	0.0450990677629938	0.0425235196458218
EASER_neighborhood=25475_l2_norm=20$0	0.1175061476114746	0.0771535658936803	0.0143442169341449
EASER_neighborhood=25475_l2_norm=0$8	0.0687276075975148	0.0479925428033876	0.039142224681793
EASER_neighborhood=25475_l2_norm=0$3	0.0541100691511132	0.0383958098597059	0.0484781405644715
EASER_neighborhood=25475_l2_norm=650$0	0.1197362040384048	0.0789986355501937	0.0049972329828444
EASER_neighborhood=25475_l2_norm=1100$0	0.1152690225320328	0.0767016651428218	0.0041283895960154
EASER_neighborhood=25475_l2_norm=1200$0	0.1144889279479216	0.0762548878505674	0.0040177089097952
EASER_neighborhood=25475_l2_norm=550$0	0.1208909818477051	0.0796011617439731	0.0053071389042612
EASER_neighborhood=25475_l2_norm=800$0	0.1180256453416983	0.0780771439144715	0.0046375207526286
EASER_neighborhood=25475_l2_norm=750$0	0.1186814583505456	0.0783126588004425	0.0047315993359158
EASER_neighborhood=25475_l2_norm=160$0	0.1262422353924376	0.082477487747074	0.0080354178195904
EASER_neighborhood=25475_l2_norm=0$5	0.0611329282811686	0.0433020450039938	0.0442888765910348
EASER_neighborhood=25475_l2_norm=1600$0	0.1109757571586012	0.0743425714517819	0.0036967349197565
EASER_neighborhood=25475_l2_norm=250$0	0.1253037235141099	0.081847745163816	0.0069230769230769
EASER_neighborhood=25475_l2_norm=400$0	0.1231712011266965	0.0807707083023924	0.0058273381294964
EASER_neighborhood=25475_l2_norm=50$0	0.1246209893774405	0.0814438393248654	0.0112451577199778
EASER_neighborhood=25475_l2_norm=700$0	0.1192402671069063	0.0785822075544334	0.0048810182623132
EASER_neighborhood=25475_l2_norm=0$7	0.0665548506558254	0.0465530192868389	0.0407526286662977
EASER_neighborhood=25475_l2_norm=60$0	0.1256137579832447	0.08215404399765	0.0107747648035417
EASER_neighborhood=25475_l2_norm=140$0	0.1266895872601131	0.0827774196043655	0.0083342556723851
EASER_neighborhood=25475_l2_norm=40$0	0.1231893633842954	0.080393264061298	0.0120475926950747
EASER_neighborhood=25475_l2_norm=1400$0	0.1129335317310842	0.0754013827571391	0.0038572219147758
EASER_neighborhood=25475_l2_norm=2000$0	0.1082216458300701	0.0726821178830455	0.0034643054786939
EASER_neighborhood=25475_l2_norm=0$4	0.0578829539420574	0.0408920597676052	0.0463364692861095
