qid	model	docs_per_query	nDCG	avg_time_doc (sec)	avg_energy_doc (joules)	time	energy
0	150_32	103	0.43816066	1.03394e-06	5.95666e-05	0.00010649582	0.0061353598
1	150_32	31	0.8213483	1.03394e-06	5.95666e-05	3.205214e-05	0.0018465646
2	150_32	78	0.6303353	1.03394e-06	5.95666e-05	8.064732e-05	0.0046461948
3	150_32	76	0.60892504	1.03394e-06	5.95666e-05	7.857944e-05	0.0045270616
4	150_32	40	0.8900595	1.03394e-06	5.95666e-05	4.13576e-05	0.002382664
5	150_32	113	0.71256864	1.03394e-06	5.95666e-05	0.00011683522	0.0067310258
6	150_32	102	0.5941654	1.03394e-06	5.95666e-05	0.00010546188	0.0060757932
7	150_32	103	0.5774848	1.03394e-06	5.95666e-05	0.00010649582	0.0061353598
8	150_32	112	0.2212742	1.03394e-06	5.95666e-05	0.00011580128	0.0066714592
9	150_32	122	0.51062137	1.03394e-06	5.95666e-05	0.00012614068	0.0072671252
10	150_32	89	0.33030882	1.03394e-06	5.95666e-05	9.202066e-05	0.0053014274
11	150_32	39	0.7187607	1.03394e-06	5.95666e-05	4.032366e-05	0.0023230974
12	150_32	129	0.5887507	1.03394e-06	5.95666e-05	0.00013337826	0.0076840914
13	150_32	42	0.4123749	1.03394e-06	5.95666e-05	4.342548e-05	0.0025017972
14	150_32	93	0.30592853	1.03394e-06	5.95666e-05	9.615642e-05	0.0055396938
15	150_32	151	0.46707487	1.03394e-06	5.95666e-05	0.00015612494	0.0089945566
16	150_32	165	0.5447915	1.03394e-06	5.95666e-05	0.0001706001	0.009828489
17	150_32	73	0.27215335	1.03394e-06	5.95666e-05	7.547762e-05	0.0043483618
18	150_32	93	0.3126922	1.03394e-06	5.95666e-05	9.615642e-05	0.0055396938
19	150_32	114	0.4335677	1.03394e-06	5.95666e-05	0.00011786916	0.0067905924
20	150_32	79	0.77956605	1.03394e-06	5.95666e-05	8.168126e-05	0.0047057614
21	150_32	62	0.65118754	1.03394e-06	5.95666e-05	6.410428e-05	0.0036931292
22	150_32	140	0.6263939	1.03394e-06	5.95666e-05	0.0001447516	0.008339324
23	150_32	355	0.32750276	1.03394e-06	5.95666e-05	0.0003670487	0.021146143
24	150_32	89	0.5077932	1.03394e-06	5.95666e-05	9.202066e-05	0.0053014274
25	150_32	125	0.52588385	1.03394e-06	5.95666e-05	0.0001292425	0.007445825
26	150_32	160	0.57498074	1.03394e-06	5.95666e-05	0.0001654304	0.009530656
27	150_32	168	0.7250087	1.03394e-06	5.95666e-05	0.00017370192	0.0100071888
28	150_32	160	0.44604537	1.03394e-06	5.95666e-05	0.0001654304	0.009530656
29	150_32	150	0.21495733	1.03394e-06	5.95666e-05	0.000155091	0.00893499
30	150_32	67	0.73675996	1.03394e-06	5.95666e-05	6.927398e-05	0.0039909622
31	150_32	187	0.45882916	1.03394e-06	5.95666e-05	0.00019334678	0.0111389542
32	150_32	180	0.40775487	1.03394e-06	5.95666e-05	0.0001861092	0.010721988
33	150_32	180	0.24317761	1.03394e-06	5.95666e-05	0.0001861092	0.010721988
34	150_32	128	0.6185192	1.03394e-06	5.95666e-05	0.00013234432	0.0076245248
35	150_32	51	0.505013	1.03394e-06	5.95666e-05	5.273094e-05	0.0030378966
36	150_32	99	0.8357141	1.03394e-06	5.95666e-05	0.00010236006	0.0058970934
37	150_32	128	0.74317473	1.03394e-06	5.95666e-05	0.00013234432	0.0076245248
38	150_32	78	0.5305157	1.03394e-06	5.95666e-05	8.064732e-05	0.0046461948
39	150_32	51	0.7189364	1.03394e-06	5.95666e-05	5.273094e-05	0.0030378966
40	150_32	67	0.42604122	1.03394e-06	5.95666e-05	6.927398e-05	0.0039909622
41	150_32	29	0.23719771	1.03394e-06	5.95666e-05	2.998426e-05	0.0017274314
42	150_32	59	0.18789066	1.03394e-06	5.95666e-05	6.100246e-05	0.0035144294
43	150_32	284	0.43652278	1.03394e-06	5.95666e-05	0.00029363896	0.0169169144
44	150_32	52	0.49205226	1.03394e-06	5.95666e-05	5.376488e-05	0.0030974632
45	150_32	114	0.49924755	1.03394e-06	5.95666e-05	0.00011786916	0.0067905924
46	150_32	132	0.6970936	1.03394e-06	5.95666e-05	0.00013648008	0.0078627912
47	150_32	86	0.8698332	1.03394e-06	5.95666e-05	8.891884e-05	0.0051227276
48	150_32	77	0.48994052	1.03394e-06	5.95666e-05	7.961338e-05	0.0045866282
49	150_32	130	0.55588955	1.03394e-06	5.95666e-05	0.0001344122	0.007743658
50	150_32	85	0.5402887	1.03394e-06	5.95666e-05	8.78849e-05	0.005063161
51	150_32	83	0.65237874	1.03394e-06	5.95666e-05	8.581702e-05	0.0049440278
52	150_32	66	0.7938695	1.03394e-06	5.95666e-05	6.824004e-05	0.0039313956
53	150_32	125	0.28241467	1.03394e-06	5.95666e-05	0.0001292425	0.007445825
54	150_32	80	0.52301913	1.03394e-06	5.95666e-05	8.27152e-05	0.004765328
55	150_32	169	0.8010066	1.03394e-06	5.95666e-05	0.00017473586	0.0100667554
56	150_32	78	0.697752	1.03394e-06	5.95666e-05	8.064732e-05	0.0046461948
57	150_32	54	0.3562072	1.03394e-06	5.95666e-05	5.583276e-05	0.0032165964
58	150_32	49	0.5368065	1.03394e-06	5.95666e-05	5.066306e-05	0.0029187634
59	150_32	89	0.0	1.03394e-06	5.95666e-05	9.202066e-05	0.0053014274
60	150_32	79	0.17117608	1.03394e-06	5.95666e-05	8.168126e-05	0.0047057614
61	150_32	64	0.8140813	1.03394e-06	5.95666e-05	6.617216e-05	0.0038122624
62	150_32	110	0.77417946	1.03394e-06	5.95666e-05	0.0001137334	0.006552326
63	150_32	67	0.52597106	1.03394e-06	5.95666e-05	6.927398e-05	0.0039909622
64	150_32	61	0.4631758	1.03394e-06	5.95666e-05	6.307034e-05	0.0036335626
65	150_32	113	0.6365179	1.03394e-06	5.95666e-05	0.00011683522	0.0067310258
66	150_32	117	0.723554	1.03394e-06	5.95666e-05	0.00012097098	0.0069692922
67	150_32	143	0.41425735	1.03394e-06	5.95666e-05	0.00014785342	0.0085180238
68	150_32	76	0.52282876	1.03394e-06	5.95666e-05	7.857944e-05	0.0045270616
69	150_32	95	0.35026184	1.03394e-06	5.95666e-05	9.82243e-05	0.005658827
70	150_32	34	0.24936269	1.03394e-06	5.95666e-05	3.515396e-05	0.0020252644
71	150_32	175	0.59701484	1.03394e-06	5.95666e-05	0.0001809395	0.010424155
72	150_32	92	0.33835775	1.03394e-06	5.95666e-05	9.512248e-05	0.0054801272
73	150_32	85	0.6909452	1.03394e-06	5.95666e-05	8.78849e-05	0.005063161
74	150_32	53	0.8157054	1.03394e-06	5.95666e-05	5.479882e-05	0.0031570298
75	150_32	128	0.51597816	1.03394e-06	5.95666e-05	0.00013234432	0.0076245248
76	150_32	129	0.558037	1.03394e-06	5.95666e-05	0.00013337826	0.0076840914
77	150_32	109	0.48700893	1.03394e-06	5.95666e-05	0.00011269946	0.0064927594
78	150_32	103	0.22829527	1.03394e-06	5.95666e-05	0.00010649582	0.0061353598
79	150_32	129	0.43064237	1.03394e-06	5.95666e-05	0.00013337826	0.0076840914
80	150_32	71	0.77882934	1.03394e-06	5.95666e-05	7.340974e-05	0.0042292286
81	150_32	83	0.20712198	1.03394e-06	5.95666e-05	8.581702e-05	0.0049440278
82	150_32	175	0.44179863	1.03394e-06	5.95666e-05	0.0001809395	0.010424155
83	150_32	82	0.03185642	1.03394e-06	5.95666e-05	8.478308e-05	0.0048844612
84	150_32	120	0.24575262	1.03394e-06	5.95666e-05	0.0001240728	0.007147992
85	150_32	53	0.6080616	1.03394e-06	5.95666e-05	5.479882e-05	0.0031570298
86	150_32	97	0.93038374	1.03394e-06	5.95666e-05	0.00010029218	0.0057779602
87	150_32	103	0.4373867	1.03394e-06	5.95666e-05	0.00010649582	0.0061353598
88	150_32	44	0.0	1.03394e-06	5.95666e-05	4.549336e-05	0.0026209304
89	150_32	82	0.77731156	1.03394e-06	5.95666e-05	8.478308e-05	0.0048844612
90	150_32	136	0.5402272	1.03394e-06	5.95666e-05	0.00014061584	0.0081010576
91	150_32	61	0.62428015	1.03394e-06	5.95666e-05	6.307034e-05	0.0036335626
92	150_32	99	0.5031105	1.03394e-06	5.95666e-05	0.00010236006	0.0058970934
93	150_32	167	0.10689199	1.03394e-06	5.95666e-05	0.00017266798	0.0099476222
94	150_32	113	0.57333773	1.03394e-06	5.95666e-05	0.00011683522	0.0067310258
95	150_32	164	0.3091816	1.03394e-06	5.95666e-05	0.00016956616	0.0097689224
96	150_32	36	0.6565063	1.03394e-06	5.95666e-05	3.722184e-05	0.0021443976
97	150_32	145	0.3762189	1.03394e-06	5.95666e-05	0.0001499213	0.008637157
98	150_32	175	0.0	1.03394e-06	5.95666e-05	0.0001809395	0.010424155
99	150_32	89	0.35029492	1.03394e-06	5.95666e-05	9.202066e-05	0.0053014274
100	150_32	134	0.18310536	1.03394e-06	5.95666e-05	0.00013854796	0.0079819244
101	150_32	42	0.9299115	1.03394e-06	5.95666e-05	4.342548e-05	0.0025017972
102	150_32	155	0.54078454	1.03394e-06	5.95666e-05	0.0001602607	0.009232823
103	150_32	60	0.5259309	1.03394e-06	5.95666e-05	6.20364e-05	0.003573996
104	150_32	142	0.14030014	1.03394e-06	5.95666e-05	0.00014681948	0.0084584572
105	150_32	187	0.682308	1.03394e-06	5.95666e-05	0.00019334678	0.0111389542
106	150_32	71	0.37585747	1.03394e-06	5.95666e-05	7.340974e-05	0.0042292286
107	150_32	103	0.2720259	1.03394e-06	5.95666e-05	0.00010649582	0.0061353598
108	150_32	175	0.48182654	1.03394e-06	5.95666e-05	0.0001809395	0.010424155
109	150_32	113	0.71278894	1.03394e-06	5.95666e-05	0.00011683522	0.0067310258
110	150_32	172	0.49722064	1.03394e-06	5.95666e-05	0.00017783768	0.0102454552
111	150_32	169	0.35662082	1.03394e-06	5.95666e-05	0.00017473586	0.0100667554
