qid	model	doc_per_query	nDCG	time
0	200x100x100x50	103	0.33420673	0.0010426793000000002
1	200x100x100x50	31	0.83709395	0.0005430425
2	200x100x100x50	78	0.6913634	0.0010564398
3	200x100x100x50	76	0.82204944	0.0010429328
4	200x100x100x50	40	0.60802823	0.000554076
5	200x100x100x50	113	0.72836345	0.00103946553
6	200x100x100x50	102	0.5339022	0.0010480500000000002
7	200x100x100x50	103	0.52897847	0.0010709013
8	200x100x100x50	112	0.44213712	0.0010559169600000001
9	200x100x100x50	122	0.42985666	0.00104840456
10	200x100x100x50	89	0.30742094	0.00105732
11	200x100x100x50	39	0.7755467	0.0005745519
12	200x100x100x50	129	0.6582098	0.0015920148000000002
13	200x100x100x50	42	0.5679933	0.0005526612
14	200x100x100x50	93	0.24769843	0.001035555
15	200x100x100x50	151	0.4949723	0.00158097
16	200x100x100x50	165	0.4672637	0.0015964278
17	200x100x100x50	73	0.26106843	0.0010614127
18	200x100x100x50	93	0.21879312	0.0010656963000000002
19	200x100x100x50	114	0.39568707	0.00106534026
20	200x100x100x50	79	0.6544633	0.0010718878
21	200x100x100x50	62	0.70502347	0.00056356016
22	200x100x100x50	140	0.6319497	0.001605156
23	200x100x100x50	355	0.30342212	0.0032681548499999998
24	200x100x100x50	89	0.48633146	0.0010312875
25	200x100x100x50	125	0.49632537	0.0010256125000000001
26	200x100x100x50	160	0.58205944	0.00163232
27	200x100x100x50	168	0.73440987	0.0015423744000000001
28	200x100x100x50	160	0.4752383	0.0015445056
29	200x100x100x50	150	0.17034964	0.001582725
30	200x100x100x50	67	0.76470256	0.0010420242000000002
31	200x100x100x50	187	0.5207418	0.00156967987
32	200x100x100x50	180	0.40965238	0.0015758172
33	200x100x100x50	180	0.3546221	0.0015711624000000002
34	200x100x100x50	128	0.6038122	0.0010799129600000002
35	200x100x100x50	51	0.4866036	0.0005443077
36	200x100x100x50	99	0.83554816	0.0010661706
37	200x100x100x50	128	0.7448484	0.0010494796800000002
38	200x100x100x50	78	0.8280641	0.001063842
39	200x100x100x50	51	0.71524954	0.0005497392
40	200x100x100x50	67	0.46903238	0.0010226746
41	200x100x100x50	29	0.3065736	0.0005526646000000001
42	200x100x100x50	59	0.087203674	0.00056417747
43	200x100x100x50	284	0.49234495	0.0025795436000000003
44	200x100x100x50	52	0.46225008	0.0005774028
45	200x100x100x50	114	0.55725753	0.00105977478
46	200x100x100x50	132	0.7259681	0.0015693084000000003
47	200x100x100x50	86	0.7013009	0.0010678362
48	200x100x100x50	77	0.5540785	0.0010628079000000001
49	200x100x100x50	130	0.5349131	0.0015659280000000003
50	200x100x100x50	85	0.43914536	0.0010322145
51	200x100x100x50	83	0.70894164	0.0010738041999999999
52	200x100x100x50	66	0.8200559	0.0010376256000000001
53	200x100x100x50	125	0.25342035	0.0010777075
54	200x100x100x50	80	0.5569418	0.001064192
55	200x100x100x50	169	0.84855855	0.00155775919
56	200x100x100x50	78	0.6943183	0.0009947028000000001
57	200x100x100x50	54	0.43067655	0.0005509998000000001
58	200x100x100x50	49	0.5051819	0.0005456542000000001
59	200x100x100x50	89	0.13565198	0.0010561986
60	200x100x100x50	79	0.18871856	0.0010308473
61	200x100x100x50	64	0.801623	0.00054982976
62	200x100x100x50	110	0.7366615	0.0010435579000000002
63	200x100x100x50	67	0.5305505	0.0010328184000000002
64	200x100x100x50	61	0.48600495	0.0005533499100000001
65	200x100x100x50	113	0.6597043	0.00103629249
66	200x100x100x50	117	0.74463296	0.00108520542
67	200x100x100x50	143	0.40273756	0.0015086357000000002
68	200x100x100x50	76	0.5079526	0.0010299064
69	200x100x100x50	95	0.34974515	0.0010082065000000002
70	200x100x100x50	34	0.31954962	0.0005500928000000001
71	200x100x100x50	175	0.61100864	0.0015170102500000004
72	200x100x100x50	92	0.28033882	0.001032746
73	200x100x100x50	85	0.5645771	0.0010219635
74	200x100x100x50	53	0.83011264	0.0005394764
75	200x100x100x50	128	0.6767446	0.00104427264
76	200x100x100x50	129	0.6004508	0.0015067586999999998
77	200x100x100x50	109	0.42756814	0.0010190726100000002
78	200x100x100x50	103	0.1791401	0.0010249076800000001
79	200x100x100x50	129	0.45004007	0.0015141375000000004
80	200x100x100x50	71	0.86278486	0.0010263334
81	200x100x100x50	83	0.24440528	0.0010075038
82	200x100x100x50	175	0.5323608	0.001552208
83	200x100x100x50	82	0.06508648	0.0010535852
84	200x100x100x50	120	0.2625296	0.0010228428000000002
85	200x100x100x50	53	0.83390325	0.0005307314
86	200x100x100x50	97	0.92439765	0.0010127867000000001
87	200x100x100x50	103	0.42411518	0.0010728789
88	200x100x100x50	44	0.0	0.0005492872
89	200x100x100x50	82	0.7148573	0.0010248606
90	200x100x100x50	136	0.47687498	0.001502188
91	200x100x100x50	61	0.58970475	0.0005506226000000001
92	200x100x100x50	99	0.52314675	0.0010331442
93	200x100x100x50	167	0.16971286	0.00152762749
94	200x100x100x50	113	0.61044794	0.00102455518
95	200x100x100x50	164	0.23195334	0.0015491768
96	200x100x100x50	36	0.8393423	0.0005456160000000001
97	200x100x100x50	145	0.32778725	0.0015322005
98	200x100x100x50	175	0.008211641	0.0015470175
99	200x100x100x50	89	0.5076257	0.0010493011000000001
100	200x100x100x50	134	0.18674476	0.001533429
101	200x100x100x50	42	0.7170247	0.0005559036
102	200x100x100x50	155	0.55191183	0.0015539215
103	200x100x100x50	60	0.49943346	0.0005505102000000001
104	200x100x100x50	142	0.26138982	0.0015378458
105	200x100x100x50	187	0.6481067	0.0015778873000000004
106	200x100x100x50	71	0.4573229	0.0010320134000000002
107	200x100x100x50	103	0.271623	0.0010294901500000001
108	200x100x100x50	175	0.5375338	0.0015943445
109	200x100x100x50	113	0.55436003	0.00103848243
110	200x100x100x50	172	0.42829418	0.0016119719600000003
111	200x100x100x50	169	0.2755939	0.00153210499
112	200x100x100x50	147	0.39744002	0.0015646974000000002
113	200x100x100x50	121	0.7950899	0.00103250026
114	200x100x100x50	198	0.7815846	0.0020326878
115	200x100x100x50	75	0.31094602	0.00102504
116	200x100x100x50	114	0.69464445	0.00103023966
117	200x100x100x50	110	0.20735076	0.0010322301000000001
118	200x100x100x50	84	0.5897576	0.0010287564000000002
119	200x100x100x50	118	0.46405673	0.0010621050200000002
120	200x100x100x50	112	0.42542958	0.0010260824000000001
121	200x100x100x50	107	0.38565204	0.0010302644800000002
122	200x100x100x50	79	0.6427103	0.0010294095000000002
123	200x100x100x50	127	0.32809198	0.00102525957
124	200x100x100x50	142	0.7900799	0.0015606794
125	200x100x100x50	167	0.3969288	0.0015886376000000004
126	200x100x100x50	70	0.59663886	0.001037757
127	200x100x100x50	176	0.2991608	0.0015712892800000002
128	200x100x100x50	86	0.28296277	0.0010593222000000002
129	200x100x100x50	121	0.5428862	0.0010878371900000002
130	200x100x100x50	137	0.56140363	0.0015989544
131	200x100x100x50	226	0.556958	0.0022084381
132	200x100x100x50	21	0.5341047	0.0005486418
133	200x100x100x50	83	0.41666773	0.0010775806999999999
134	200x100x100x50	101	0.6954822	0.0010642673000000001
135	200x100x100x50	151	0.48839715	0.0015639372000000001
136	200x100x100x50	109	0.46710086	0.0010477679500000001
137	200x100x100x50	72	0.9054463	0.0011044728
138	200x100x100x50	114	0.4105006	0.00104616774
139	200x100x100x50	73	0.73799527	0.0010340085
140	200x100x100x50	70	0.46655178	0.0010390940000000002
141	200x100x100x50	53	0.9227515	0.0005612541
142	200x100x100x50	131	0.29649764	0.0015567647
143	200x100x100x50	112	0.09519796	0.00104471472
144	200x100x100x50	129	0.43058187	0.0015251154000000004
145	200x100x100x50	180	0.33571416	0.0015355602000000001
146	200x100x100x50	64	0.3521586	0.0005390400000000001
147	200x100x100x50	74	1.0	0.0010484616000000003
148	200x100x100x50	107	0.6533516	0.00103719701
149	200x100x100x50	190	0.5580095	0.0015577454
150	200x100x100x50	133	0.49747664	0.0015493170000000001
151	200x100x100x50	78	0.31646645	0.0010383906
152	200x100x100x50	142	0.7164084	0.0015606794
153	200x100x100x50	99	0.6733862	0.0010380744
154	200x100x100x50	140	0.45948732	0.001597918
155	200x100x100x50	106	0.6952424	0.0010620882000000002
156	200x100x100x50	107	0.6281464	0.0010221453200000002
157	200x100x100x50	88	0.76279885	0.0010298728
158	200x100x100x50	94	0.44218934	0.0010459474000000001
159	200x100x100x50	198	0.65755224	0.0020395188
160	200x100x100x50	64	0.9484468	0.0005504672000000001
161	200x100x100x50	97	0.85537374	0.0010259011
162	200x100x100x50	118	0.21109268	0.0010448121200000002
163	200x100x100x50	165	0.39784414	0.0016019454
164	200x100x100x50	95	0.8162627	0.0010478595000000001
165	200x100x100x50	121	0.58320194	0.0010282180700000002
166	200x100x100x50	95	0.6624611	0.001031643
167	200x100x100x50	116	0.5290085	0.00112502484
168	200x100x100x50	134	0.6452056	0.0016217082
169	200x100x100x50	68	0.27976435	0.0010657980000000002
170	200x100x100x50	84	0.93668306	0.001037442
171	200x100x100x50	112	0.4922255	0.001050308
172	200x100x100x50	144	0.78991896	0.0015232608
173	200x100x100x50	83	0.21552782	0.0010414176000000002
174	200x100x100x50	116	0.8383974	0.0010597098800000002
175	200x100x100x50	97	0.6702028	0.0010416442
176	200x100x100x50	211	0.31224352	0.00209688213
177	200x100x100x50	91	0.8400527	0.0010401209000000002
178	200x100x100x50	107	0.37100327	0.00102615996
179	200x100x100x50	157	0.64893174	0.0015696027900000003
180	200x100x100x50	153	0.5431112	0.0016372836
181	200x100x100x50	109	0.751523	0.0011318451
182	200x100x100x50	148	0.32634917	0.0015533044000000003
183	200x100x100x50	32	0.77844816	0.0005684384
184	200x100x100x50	93	0.27022055	0.0010870677
185	200x100x100x50	118	0.61895025	0.00104097476
186	200x100x100x50	113	0.5340936	0.00107345028
187	200x100x100x50	97	0.2839376	0.0010528477
188	200x100x100x50	99	0.41337895	0.0010255311000000001
189	200x100x100x50	93	0.089264095	0.001006539
190	200x100x100x50	127	0.49367902	0.0010469956200000001
191	200x100x100x50	108	0.6509014	0.0010228053600000002
192	200x100x100x50	139	0.66380125	0.0015836130999999998
193	200x100x100x50	125	0.9067384	0.00105098
194	200x100x100x50	84	0.55843455	0.0010188192
195	200x100x100x50	68	0.511904	0.00105825
196	200x100x100x50	27	0.5214683	0.0005764068000000001
197	200x100x100x50	112	0.5662291	0.0010382120000000002
198	200x100x100x50	191	0.33043766	0.0015658944
199	200x100x100x50	75	0.8999657	0.001065915
200	200x100x100x50	79	0.35051295	0.0010602985
201	200x100x100x50	117	0.45224753	0.00104277537
202	200x100x100x50	106	0.8192581	0.00102620296
203	200x100x100x50	81	0.4133398	0.0010561104000000002
204	200x100x100x50	73	0.3206429	0.0010526016000000002
205	200x100x100x50	106	0.5155774	0.00105719736
206	200x100x100x50	90	0.75160617	0.0010929960000000002
207	200x100x100x50	64	0.5039963	0.0005732998400000001
208	200x100x100x50	89	0.3160976	0.0010611737000000001
209	200x100x100x50	118	0.0	0.00102607726
210	200x100x100x50	85	0.64438987	0.0010290865000000002
211	200x100x100x50	79	0.4665159	0.0010118952000000001
212	200x100x100x50	50	0.9690945	0.0005511450000000001
213	200x100x100x50	229	0.30576107	0.00207307288
214	200x100x100x50	53	1.0	0.0005690663
215	200x100x100x50	100	0.0	0.00104382
216	200x100x100x50	109	0.28048894	0.00104509745
217	200x100x100x50	65	0.9799215	0.0010366200000000002
218	200x100x100x50	162	0.3216338	0.0015416746200000002
219	200x100x100x50	34	1.0	0.0005527924000000001
220	200x100x100x50	202	0.5224313	0.0020680962000000002
221	200x100x100x50	120	0.46996886	0.0010409052
222	200x100x100x50	71	0.8446878	0.0010385312000000002
223	200x100x100x50	103	0.53331536	0.001035459
224	200x100x100x50	142	0.6978217	0.0015135496
225	200x100x100x50	109	0.0	0.00102213006
226	200x100x100x50	138	0.59654313	0.0015046692000000002
227	200x100x100x50	138	0.5352965	0.0015608490000000002
228	200x100x100x50	74	0.82827353	0.0010198014
229	200x100x100x50	108	0.6739146	0.00102288744
230	200x100x100x50	110	0.04188747	0.0010200971
231	200x100x100x50	154	0.3023907	0.001556478
232	200x100x100x50	202	0.6023038	0.0020323826000000003
233	200x100x100x50	149	0.1486897	0.00148077541
234	200x100x100x50	68	0.18644388	0.0010039044
235	200x100x100x50	55	0.7068128	0.00052660245
236	200x100x100x50	49	0.04936815	0.0005400927000000001
237	200x100x100x50	104	0.2600021	0.0010682464
238	200x100x100x50	180	0.7118548	0.0015213456000000003
239	200x100x100x50	124	0.8863948	0.0010513997200000001
240	200x100x100x50	73	0.3585336	0.0010306651
241	200x100x100x50	94	0.3051344	0.0010305032000000002
242	200x100x100x50	100	0.73183835	0.0010273300000000001
243	200x100x100x50	121	0.42354703	0.0009940525100000002
244	200x100x100x50	107	0.71671206	0.0010303779000000002
245	200x100x100x50	206	0.15045871	0.0020228458400000002
246	200x100x100x50	85	0.0	0.0010036630000000001
247	200x100x100x50	111	0.46632195	0.0010271773500000001
248	200x100x100x50	140	0.38359421	0.0015113840000000004
249	200x100x100x50	10	0.60526025	0.0005467800000000001
250	200x100x100x50	128	0.24173626	0.0010609728000000001
251	200x100x100x50	165	0.5998238	0.0015333598500000003
252	200x100x100x50	100	0.4589753	0.00102477
253	200x100x100x50	77	0.7061832	0.0010378445
254	200x100x100x50	87	0.18829793	0.0010082778000000002
255	200x100x100x50	157	0.30622315	0.00153007804
256	200x100x100x50	64	0.12216524	0.00053893504
257	200x100x100x50	161	0.2537725	0.00151070808
258	200x100x100x50	81	0.6202881	0.0010410687
259	200x100x100x50	179	0.22009037	0.0015564980800000002
260	200x100x100x50	147	0.37855476	0.0015558921000000002
261	200x100x100x50	141	0.54670984	0.0015698094000000003
262	200x100x100x50	91	0.753458	0.0010400663000000002
263	200x100x100x50	124	0.8453215	0.00110348716
264	200x100x100x50	75	0.2538653	0.0010612050000000002
265	200x100x100x50	68	0.81956583	0.0010409644
266	200x100x100x50	113	0.23495491	0.00105478268
267	200x100x100x50	16	1.0	0.0005532848000000001
268	200x100x100x50	138	0.07336392	0.0015603522000000002
269	200x100x100x50	191	0.4518276	0.0015601223800000002
270	200x100x100x50	69	0.6067409	0.0010287279
271	200x100x100x50	76	0.6329222	0.0010518248
272	200x100x100x50	111	0.1646682	0.0010310046300000002
273	200x100x100x50	73	0.43380323	0.0010495356
274	200x100x100x50	61	0.53769636	0.0005581097400000001
275	200x100x100x50	63	0.3758356	0.00054808236
276	200x100x100x50	149	0.26745692	0.0015738572000000004
277	200x100x100x50	104	0.8299721	0.0010569832000000001
278	200x100x100x50	95	0.34238386	0.001041314
279	200x100x100x50	160	0.50435495	0.0015646496000000004
280	200x100x100x50	73	0.59396243	0.0010465718
281	200x100x100x50	90	0.2276784	0.001036152
282	200x100x100x50	64	0.39639187	0.00056919488
283	200x100x100x50	113	0.3927796	0.00104687946
284	200x100x100x50	493	0.2817561	0.0041519276800000005
285	200x100x100x50	122	0.38149542	0.0010142701800000002
286	200x100x100x50	221	0.5333577	0.00204167977
287	200x100x100x50	103	0.3825051	0.0010372409000000001
288	200x100x100x50	67	0.5401201	0.0010555649
289	200x100x100x50	102	0.7862378	0.0010353407999999999
290	200x100x100x50	105	0.5423076	0.001035972
291	200x100x100x50	63	0.24332637	0.0005722371900000001
292	200x100x100x50	74	0.6551823	0.0010454424
293	200x100x100x50	127	0.5577598	0.00109329728
294	200x100x100x50	39	0.5911631	0.0005735847
295	200x100x100x50	43	0.34159872	0.0005685374
296	200x100x100x50	230	0.35266373	0.0020888669
297	200x100x100x50	138	0.8942798	0.0015573576
298	200x100x100x50	161	0.41130456	0.001592773
299	200x100x100x50	99	0.92663604	0.0010830897000000002
300	200x100x100x50	83	0.39194244	0.001049452
301	200x100x100x50	94	0.4208402	0.0010348366
302	200x100x100x50	81	0.4904738	0.0010582164000000002
303	200x100x100x50	177	0.52479774	0.0015514775700000002
304	200x100x100x50	162	0.77877086	0.0015893593200000003
305	200x100x100x50	204	0.68379986	0.0020416524
306	200x100x100x50	162	0.5489774	0.0015419305800000002
307	200x100x100x50	200	0.5674561	0.00207622
308	200x100x100x50	122	0.72079885	0.0010475652
