qid	model	docs_per_query	nDCG	avg_time_doc (sec)	avg_energy_doc (joules)	time	energy
0	878_64	103	0.34046596	1.50355e-05	0.00089426	0.0015486565	0.09210878
1	878_64	31	0.81835014	1.50355e-05	0.00089426	0.0004661005	0.02772206
2	878_64	78	0.73073286	1.50355e-05	0.00089426	0.001172769	0.06975228
3	878_64	76	0.78932935	1.50355e-05	0.00089426	0.001142698	0.06796376
4	878_64	40	0.90348667	1.50355e-05	0.00089426	0.00060142	0.0357704
5	878_64	113	0.7399872	1.50355e-05	0.00089426	0.0016990115	0.10105138
6	878_64	102	0.6862223	1.50355e-05	0.00089426	0.001533621	0.09121452
7	878_64	103	0.46464503	1.50355e-05	0.00089426	0.0015486565	0.09210878
8	878_64	112	0.40099886	1.50355e-05	0.00089426	0.001683976	0.10015712
9	878_64	122	0.47746205	1.50355e-05	0.00089426	0.001834331	0.10909972
10	878_64	89	0.28425106	1.50355e-05	0.00089426	0.0013381595	0.07958914
11	878_64	39	0.7468617	1.50355e-05	0.00089426	0.0005863845	0.03487614
12	878_64	129	0.6291463	1.50355e-05	0.00089426	0.0019395795	0.11535954
13	878_64	42	0.50141615	1.50355e-05	0.00089426	0.000631491	0.03755892
14	878_64	93	0.29503945	1.50355e-05	0.00089426	0.0013983015	0.08316618
15	878_64	151	0.4579548	1.50355e-05	0.00089426	0.0022703605	0.13503326
16	878_64	165	0.4216021	1.50355e-05	0.00089426	0.0024808575	0.1475529
17	878_64	73	0.24968909	1.50355e-05	0.00089426	0.0010975915	0.06528098
18	878_64	93	0.28942475	1.50355e-05	0.00089426	0.0013983015	0.08316618
19	878_64	114	0.438533	1.50355e-05	0.00089426	0.001714047	0.10194564
20	878_64	79	0.67801356	1.50355e-05	0.00089426	0.0011878045	0.07064654
21	878_64	62	0.62496614	1.50355e-05	0.00089426	0.000932201	0.05544412
22	878_64	140	0.6699151	1.50355e-05	0.00089426	0.00210497	0.1251964
23	878_64	355	0.3187429	1.50355e-05	0.00089426	0.0053376025	0.3174623
24	878_64	89	0.4169061	1.50355e-05	0.00089426	0.0013381595	0.07958914
25	878_64	125	0.5228548	1.50355e-05	0.00089426	0.0018794375	0.1117825
26	878_64	160	0.5807666	1.50355e-05	0.00089426	0.00240568	0.1430816
27	878_64	168	0.72805756	1.50355e-05	0.00089426	0.002525964	0.15023568
28	878_64	160	0.4690712	1.50355e-05	0.00089426	0.00240568	0.1430816
29	878_64	150	0.21495733	1.50355e-05	0.00089426	0.002255325	0.134139
30	878_64	67	0.7791738	1.50355e-05	0.00089426	0.0010073785	0.05991542
31	878_64	187	0.6451299	1.50355e-05	0.00089426	0.0028116385	0.16722662
32	878_64	180	0.37178776	1.50355e-05	0.00089426	0.00270639	0.1609668
33	878_64	180	0.18835078	1.50355e-05	0.00089426	0.00270639	0.1609668
34	878_64	128	0.63583636	1.50355e-05	0.00089426	0.001924544	0.11446528
35	878_64	51	0.5079477	1.50355e-05	0.00089426	0.0007668105	0.04560726
36	878_64	99	0.8523266	1.50355e-05	0.00089426	0.0014885145	0.08853174
37	878_64	128	0.7279304	1.50355e-05	0.00089426	0.001924544	0.11446528
38	878_64	78	0.7952686	1.50355e-05	0.00089426	0.001172769	0.06975228
39	878_64	51	0.70726687	1.50355e-05	0.00089426	0.0007668105	0.04560726
40	878_64	67	0.4906581	1.50355e-05	0.00089426	0.0010073785	0.05991542
41	878_64	29	0.3065736	1.50355e-05	0.00089426	0.0004360295	0.02593354
42	878_64	59	0.15479675	1.50355e-05	0.00089426	0.0008870945	0.05276134
43	878_64	284	0.47696298	1.50355e-05	0.00089426	0.004270082	0.25396984
44	878_64	52	0.48293093	1.50355e-05	0.00089426	0.000781846	0.04650152
45	878_64	114	0.5576043	1.50355e-05	0.00089426	0.001714047	0.10194564
46	878_64	132	0.6953205	1.50355e-05	0.00089426	0.001984686	0.11804232
47	878_64	86	0.6932167	1.50355e-05	0.00089426	0.001293053	0.07690636
48	878_64	77	0.4556149	1.50355e-05	0.00089426	0.0011577335	0.06885802
49	878_64	130	0.635688	1.50355e-05	0.00089426	0.001954615	0.1162538
50	878_64	85	0.5192203	1.50355e-05	0.00089426	0.0012780175	0.0760121
51	878_64	83	0.7233841	1.50355e-05	0.00089426	0.0012479465	0.07422358
52	878_64	66	0.81660855	1.50355e-05	0.00089426	0.000992343	0.05902116
53	878_64	125	0.3237097	1.50355e-05	0.00089426	0.0018794375	0.1117825
54	878_64	80	0.5369241	1.50355e-05	0.00089426	0.00120284	0.0715408
55	878_64	169	0.74073046	1.50355e-05	0.00089426	0.0025409995	0.15112994
56	878_64	78	0.69666237	1.50355e-05	0.00089426	0.001172769	0.06975228
57	878_64	54	0.63092977	1.50355e-05	0.00089426	0.000811917	0.04829004
58	878_64	49	0.5964388	1.50355e-05	0.00089426	0.0007367395	0.04381874
59	878_64	89	0.0	1.50355e-05	0.00089426	0.0013381595	0.07958914
60	878_64	79	0.15310901	1.50355e-05	0.00089426	0.0011878045	0.07064654
61	878_64	64	0.8209666	1.50355e-05	0.00089426	0.000962272	0.05723264
62	878_64	110	0.6865147	1.50355e-05	0.00089426	0.001653905	0.0983686
63	878_64	67	0.62681496	1.50355e-05	0.00089426	0.0010073785	0.05991542
64	878_64	61	0.47550526	1.50355e-05	0.00089426	0.0009171655	0.05454986
65	878_64	113	0.615348	1.50355e-05	0.00089426	0.0016990115	0.10105138
66	878_64	117	0.55642104	1.50355e-05	0.00089426	0.0017591535	0.10462842
67	878_64	143	0.443973	1.50355e-05	0.00089426	0.0021500765	0.12787918
68	878_64	76	0.5143823	1.50355e-05	0.00089426	0.001142698	0.06796376
69	878_64	95	0.29146138	1.50355e-05	0.00089426	0.0014283725	0.0849547
70	878_64	34	0.30383772	1.50355e-05	0.00089426	0.000511207	0.03040484
71	878_64	175	0.63612825	1.50355e-05	0.00089426	0.0026312125	0.1564955
72	878_64	92	0.31498307	1.50355e-05	0.00089426	0.001383266	0.08227192
73	878_64	85	0.7084728	1.50355e-05	0.00089426	0.0012780175	0.0760121
74	878_64	53	0.83011264	1.50355e-05	0.00089426	0.0007968815	0.04739578
75	878_64	128	0.25529355	1.50355e-05	0.00089426	0.001924544	0.11446528
76	878_64	129	0.5385082	1.50355e-05	0.00089426	0.0019395795	0.11535954
77	878_64	109	0.43650588	1.50355e-05	0.00089426	0.0016388695	0.09747434
78	878_64	103	0.16426516	1.50355e-05	0.00089426	0.0015486565	0.09210878
79	878_64	129	0.43244463	1.50355e-05	0.00089426	0.0019395795	0.11535954
80	878_64	71	0.77317464	1.50355e-05	0.00089426	0.0010675205	0.06349246
81	878_64	83	0.27158156	1.50355e-05	0.00089426	0.0012479465	0.07422358
82	878_64	175	0.45923692	1.50355e-05	0.00089426	0.0026312125	0.1564955
83	878_64	82	0.03984086	1.50355e-05	0.00089426	0.001232911	0.07332932
84	878_64	120	0.22108907	1.50355e-05	0.00089426	0.00180426	0.1073112
85	878_64	53	0.5406122	1.50355e-05	0.00089426	0.0007968815	0.04739578
86	878_64	97	0.93098706	1.50355e-05	0.00089426	0.0014584435	0.08674322
87	878_64	103	0.5238856	1.50355e-05	0.00089426	0.0015486565	0.09210878
88	878_64	44	0.0	1.50355e-05	0.00089426	0.000661562	0.03934744
89	878_64	82	0.75757545	1.50355e-05	0.00089426	0.001232911	0.07332932
90	878_64	136	0.5035297	1.50355e-05	0.00089426	0.002044828	0.12161936
91	878_64	61	0.6366411	1.50355e-05	0.00089426	0.0009171655	0.05454986
92	878_64	99	0.5490268	1.50355e-05	0.00089426	0.0014885145	0.08853174
93	878_64	167	0.11584705	1.50355e-05	0.00089426	0.0025109285	0.14934142
94	878_64	113	0.5728628	1.50355e-05	0.00089426	0.0016990115	0.10105138
95	878_64	164	0.276304	1.50355e-05	0.00089426	0.002465822	0.14665864
96	878_64	36	0.81713253	1.50355e-05	0.00089426	0.000541278	0.03219336
97	878_64	145	0.3571328	1.50355e-05	0.00089426	0.0021801475	0.1296677
98	878_64	175	0.008551543	1.50355e-05	0.00089426	0.0026312125	0.1564955
99	878_64	89	0.5209391	1.50355e-05	0.00089426	0.0013381595	0.07958914
100	878_64	134	0.1700418	1.50355e-05	0.00089426	0.002014757	0.11983084
101	878_64	42	0.6976525	1.50355e-05	0.00089426	0.000631491	0.03755892
102	878_64	155	0.5660912	1.50355e-05	0.00089426	0.0023305025	0.1386103
103	878_64	60	0.54647696	1.50355e-05	0.00089426	0.00090213	0.0536556
104	878_64	142	0.44283345	1.50355e-05	0.00089426	0.002135041	0.12698492
105	878_64	187	0.59992963	1.50355e-05	0.00089426	0.0028116385	0.16722662
106	878_64	71	0.44951072	1.50355e-05	0.00089426	0.0010675205	0.06349246
107	878_64	103	0.15632552	1.50355e-05	0.00089426	0.0015486565	0.09210878
108	878_64	175	0.44770584	1.50355e-05	0.00089426	0.0026312125	0.1564955
109	878_64	113	0.65451795	1.50355e-05	0.00089426	0.0016990115	0.10105138
110	878_64	172	0.50736594	1.50355e-05	0.00089426	0.002586106	0.15381272
111	878_64	169	0.4061574	1.50355e-05	0.00089426	0.0025409995	0.15112994
112	878_64	147	0.38828567	1.50355e-05	0.00089426	0.0022102185	0.13145622
113	878_64	121	0.8294623	1.50355e-05	0.00089426	0.0018192955	0.10820546
114	878_64	198	0.7591335	1.50355e-05	0.00089426	0.002977029	0.17706348
115	878_64	75	0.3302301	1.50355e-05	0.00089426	0.0011276625	0.0670695
116	878_64	114	0.70437145	1.50355e-05	0.00089426	0.001714047	0.10194564
117	878_64	110	0.20250593	1.50355e-05	0.00089426	0.001653905	0.0983686
118	878_64	84	0.7440371	1.50355e-05	0.00089426	0.001262982	0.07511784
119	878_64	118	0.3861824	1.50355e-05	0.00089426	0.001774189	0.10552268
120	878_64	112	0.51637614	1.50355e-05	0.00089426	0.001683976	0.10015712
121	878_64	107	0.4767558	1.50355e-05	0.00089426	0.0016087985	0.09568582
122	878_64	79	0.73026425	1.50355e-05	0.00089426	0.0011878045	0.07064654
123	878_64	127	0.3747804	1.50355e-05	0.00089426	0.0019095085	0.11357102
124	878_64	142	0.88789845	1.50355e-05	0.00089426	0.002135041	0.12698492
125	878_64	167	0.45347944	1.50355e-05	0.00089426	0.0025109285	0.14934142
126	878_64	70	0.5328913	1.50355e-05	0.00089426	0.001052485	0.0625982
127	878_64	176	0.32080686	1.50355e-05	0.00089426	0.002646248	0.15738976
128	878_64	86	0.4161971	1.50355e-05	0.00089426	0.001293053	0.07690636
129	878_64	121	0.61447984	1.50355e-05	0.00089426	0.0018192955	0.10820546
130	878_64	137	0.50436246	1.50355e-05	0.00089426	0.0020598635	0.12251362
131	878_64	226	0.49331012	1.50355e-05	0.00089426	0.003398023	0.20210276
132	878_64	21	0.59085286	1.50355e-05	0.00089426	0.0003157455	0.01877946
133	878_64	83	0.35772368	1.50355e-05	0.00089426	0.0012479465	0.07422358
134	878_64	101	0.731011	1.50355e-05	0.00089426	0.0015185855	0.09032026
135	878_64	151	0.52912045	1.50355e-05	0.00089426	0.0022703605	0.13503326
136	878_64	109	0.49200597	1.50355e-05	0.00089426	0.0016388695	0.09747434
